state,maximum_temperature,year,id_state
BAJA CALIFORNIA,28.900000000000002,2014,2
BAJA CALIFORNIA SUR,31.475000000000005,2014,3
CAMPECHE,33.275,2014,4
CHIAPAS,30.36666666666667,2014,5
CHIHUAHUA,27.033333333333335,2014,6
CIUDAD DE MÉXICO,23.84166666666667,2014,7
COAHUILA,28.875,2014,8
COLIMA,32.93333333333333,2014,9
DURANGO,27.308333333333334,2014,10
ESTADO DE MÉXICO,21.991666666666664,2014,11
GUANAJUATO,27.04166666666666,2014,12
GUERRERO,31.483333333333334,2014,13
HIDALGO,25.524999999999995,2014,14
JALISCO,28.316666666666666,2014,15
MICHOACÁN,27.15833333333333,2014,16
MORELOS,29.54166666666666,2014,17
NAYARIT,32.65,2014,18
NUEVO LEÓN,28.716666666666665,2014,19
OAXACA,30.741666666666664,2014,20
PUEBLA,25.724999999999998,2014,21
QUERÉTARO,26.25833333333333,2014,22
QUINTANA ROO,32.166666666666664,2014,23
SAN LUIS POTOSÍ,29.25833333333333,2014,24
SINALOA,33.65,2014,25
SONORA,32.25833333333333,2014,26
TABASCO,31.450000000000003,2014,27
TAMAULIPAS,29.724999999999994,2014,28
TLAXCALA,23.675,2014,29
VERACRUZ,28.316666666666663,2014,30
YUCATÁN,32.625,2014,31
ZACATECAS,25.916666666666668,2014,32
AGUASCALIENTES,25.4,2015,1
BAJA CALIFORNIA,27.5,2015,2
BAJA CALIFORNIA SUR,30.7,2015,3
CAMPECHE,33.9,2015,4
CHIAPAS,30.7,2015,5
CHIHUAHUA,26.6,2015,6
CIUDAD DE MÉXICO,23.9,2015,7
COAHUILA,27.8,2015,8
COLIMA,32.6,2015,9
DURANGO,26.2,2015,10
ESTADO DE MÉXICO,21.9,2015,11
GUANAJUATO,27.0,2015,12
GUERRERO,32.4,2015,13
HIDALGO,25.3,2015,14
JALISCO,28.8,2015,15
MICHOACÁN,28.4,2015,16
MORELOS,29.7,2015,17
NAYARIT,32.9,2015,18
NUEVO LEÓN,28.6,2015,19
OAXACA,31.2,2015,20
PUEBLA,25.8,2015,21
QUERÉTARO,26.8,2015,22
QUINTANA ROO,32.6,2015,23
