state,minimum_temperature,year,id_state
QUERÉTARO,11.77662494725953,2013,22
QUINTANA ROO,22.222589814866993,2013,23
SAN LUIS POTOSÍ,16.51502043455277,2013,24
SINALOA,17.133114950252125,2013,25
SONORA,13.679539946148358,2013,26
TABASCO,21.930146856543782,2013,27
TAMAULIPAS,18.39540522741725,2013,28
TLAXCALA,7.728088867243867,2013,29
VERACRUZ,18.203934974844653,2013,30
YUCATÁN,21.00288631270903,2013,31
ZACATECAS,9.04614620953857,2013,32
AGUASCALIENTES,9.525,2014,1
BAJA CALIFORNIA,15.683333333333332,2014,2
BAJA CALIFORNIA SUR,17.908333333333335,2014,3
CAMPECHE,21.5,2014,4
CHIAPAS,18.950000000000003,2014,5
CHIHUAHUA,10.075000000000001,2014,6
CIUDAD DE MÉXICO,11.533333333333333,2014,7
COAHUILA,14.208333333333336,2014,8
COLIMA,20.808333333333334,2014,9
DURANGO,9.583333333333334,2014,10
ESTADO DE MÉXICO,7.266666666666667,2014,11
GUANAJUATO,10.924999999999999,2014,12
GUERRERO,19.075,2014,13
HIDALGO,10.658333333333333,2014,14
JALISCO,13.325000000000001,2014,15
MICHOACÁN,12.700000000000001,2014,16
MORELOS,14.941666666666665,2014,17
NAYARIT,19.691666666666666,2014,18
NUEVO LEÓN,14.658333333333333,2014,19
OAXACA,18.275,2014,20
PUEBLA,10.883333333333333,2014,21
QUERÉTARO,11.566666666666668,2014,22
QUINTANA ROO,22.86666666666667,2014,23
SAN LUIS POTOSÍ,16.025,2014,24
SINALOA,18.09166666666667,2014,25
SONORA,14.966666666666669,2014,26
TABASCO,21.925,2014,27
TAMAULIPAS,17.875,2014,28
TLAXCALA,7.558333333333333,2014,29
VERACRUZ,17.533333333333335,2014,30
YUCATÁN,20.508333333333333,2014,31
ZACATECAS,8.866666666666669,2014,32
AGUASCALIENTES,10.0,2015,1
BAJA CALIFORNIA,14.3,2015,2
BAJA CALIFORNIA SUR,18.1,2015,3
CAMPECHE,21.9,2015,4
CHIAPAS,19.2,2015,5
CHIHUAHUA,10.5,2015,6
CIUDAD DE MÉXICO,11.7,2015,7
COAHUILA,13.7,2015,8
COLIMA,20.8,2015,9
DURANGO,9.6,2015,10
ESTADO DE MÉXICO,7.8,2015,11
GUANAJUATO,11.3,2015,12
GUERRERO,19.9,2015,13
HIDALGO,11.0,2015,14
JALISCO,13.9,2015,15
MICHOACÁN,14.1,2015,16
MORELOS,15.4,2015,17
NAYARIT,20.3,2015,18
NUEVO LEÓN,15.6,2015,19
OAXACA,18.8,2015,20
PUEBLA,10.9,2015,21
QUERÉTARO,12.8,2015,22
QUINTANA ROO,22.7,2015,23
SAN LUIS POTOSÍ,15.4,2015,24
SINALOA,18.7,2015,25
SONORA,15.3,2015,26
TABASCO,22.5,2015,27
TAMAULIPAS,18.5,2015,28
TLAXCALA,7.7,2015,29
VERACRUZ,17.7,2015,30
YUCATÁN,21.3,2015,31
ZACATECAS,9.5,2015,32
AGUASCALIENTES,10.1,2016,1
BAJA CALIFORNIA,14.600000000000001,2016,2
BAJA CALIFORNIA SUR,17.683333333333334,2016,3
CAMPECHE,22.25,2016,4
CHIAPAS,19.441666666666666,2016,5
CHIHUAHUA,10.6,2016,6
CIUDAD DE MÉXICO,11.600000000000001,2016,7
COAHUILA,15.08333333333333,2016,8
COLIMA,20.849999999999998,2016,9
DURANGO,9.725,2016,10
ESTADO DE MÉXICO,7.233333333333333,2016,11
GUANAJUATO,10.933333333333332,2016,12
GUERRERO,19.008333333333336,2016,13
HIDALGO,11.324999999999998,2016,14
JALISCO,13.325000000000001,2016,15
MICHOACÁN,12.733333333333333,2016,16
MORELOS,14.983333333333334,2016,17
NAYARIT,19.375000000000004,2016,18
NUEVO LEÓN,15.808333333333332,2016,19
OAXACA,18.583333333333336,2016,20
PUEBLA,11.008333333333333,2016,21
QUERÉTARO,12.799999999999999,2016,22
QUINTANA ROO,22.200000000000003,2016,23
SAN LUIS POTOSÍ,15.891666666666667,2016,24
SINALOA,18.208333333333332,2016,25
SONORA,14.174999999999999,2016,26
TABASCO,22.450000000000003,2016,27
TAMAULIPAS,19.03333333333333,2016,28
TLAXCALA,8.025,2016,29
VERACRUZ,18.1,2016,30
YUCATÁN,21.041666666666668,2016,31
ZACATECAS,8.908333333333333,2016,32
AGUASCALIENTES,9.491666666666669,2017,1
BAJA CALIFORNIA,15.308333333333332,2017,2
BAJA CALIFORNIA SUR,17.86666666666667,2017,3
CAMPECHE,21.8,2017,4
CHIAPAS,19.208333333333332,2017,5
CHIHUAHUA,10.6,2017,6
CIUDAD DE MÉXICO,11.375,2017,7
COAHUILA,15.133333333333333,2017,8
COLIMA,20.60833333333333,2017,9
DURANGO,9.966666666666665,2017,10
ESTADO DE MÉXICO,6.616666666666667,2017,11
GUANAJUATO,10.683333333333332,2017,12
GUERRERO,18.21666666666667,2017,13
HIDALGO,10.950000000000001,2017,14
JALISCO,12.91666666666667,2017,15
MICHOACÁN,12.133333333333333,2017,16
MORELOS,14.666666666666666,2017,17
NAYARIT,18.84166666666667,2017,18
NUEVO LEÓN,15.58333333333333,2017,19
OAXACA,17.991666666666667,2017,20
PUEBLA,10.65,2017,21
QUERÉTARO,12.258333333333335,2017,22
QUINTANA ROO,22.525000000000002,2017,23
SAN LUIS POTOSÍ,16.583333333333332,2017,24
SINALOA,18.158333333333335,2017,25
SONORA,14.658333333333331,2017,26
TABASCO,22.183333333333334,2017,27
TAMAULIPAS,19.191666666666666,2017,28
TLAXCALA,7.116666666666668,2017,29
VERACRUZ,17.566666666666666,2017,30
YUCATÁN,20.65833333333333,2017,31
ZACATECAS,8.991666666666665,2017,32
AGUASCALIENTES,9.916666666666666,2018,1
BAJA CALIFORNIA,13.800000000000002,2018,2
BAJA CALIFORNIA SUR,17.816666666666666,2018,3
CAMPECHE,21.225,2018,4
CHIAPAS,18.991666666666667,2018,5
CHIHUAHUA,10.658333333333333,2018,6
CIUDAD DE MÉXICO,11.325000000000001,2018,7
COAHUILA,15.000000000000002,2018,8
COLIMA,20.741666666666667,2018,9
DURANGO,9.95,2018,10
ESTADO DE MÉXICO,7.000000000000001,2018,11
GUANAJUATO,10.933333333333332,2018,12
GUERRERO,18.258333333333333,2018,13
HIDALGO,11.191666666666665,2018,14
JALISCO,13.016666666666666,2018,15
MICHOACÁN,12.608333333333334,2018,16
MORELOS,14.674999999999997,2018,17
NAYARIT,18.85,2018,18
NUEVO LEÓN,14.983333333333329,2018,19
OAXACA,17.433333333333334,2018,20
PUEBLA,10.733333333333334,2018,21
QUERÉTARO,12.75,2018,22
QUINTANA ROO,22.55,2018,23
SAN LUIS POTOSÍ,16.941666666666663,2018,24
SINALOA,18.03333333333333,2018,25
SONORA,14.441666666666665,2018,26
TABASCO,22.13333333333333,2018,27
TAMAULIPAS,18.541666666666668,2018,28
TLAXCALA,7.325,2018,29
VERACRUZ,17.283333333333328,2018,30
YUCATÁN,20.4,2018,31
ZACATECAS,9.383333333333333,2018,32
AGUASCALIENTES,10.3,2019,1
BAJA CALIFORNIA,13.3,2019,2
BAJA CALIFORNIA SUR,17.4,2019,3
CAMPECHE,21.7,2019,4
CHIAPAS,19.3,2019,5
CHIHUAHUA,10.3,2019,6
CIUDAD DE MÉXICO,12.1,2019,7
COAHUILA,15.2,2019,8
COLIMA,21.0,2019,9
DURANGO,9.7,2019,10
ESTADO DE MÉXICO,7.5,2019,11
GUANAJUATO,11.3,2019,12
GUERRERO,18.6,2019,13
HIDALGO,12.2,2019,14
JALISCO,13.4,2019,15
MICHOACÁN,12.5,2019,16
MORELOS,14.8,2019,17
NAYARIT,19.2,2019,18
NUEVO LEÓN,15.3,2019,19
OAXACA,17.2,2019,20
PUEBLA,11.2,2019,21
QUERÉTARO,13.1,2019,22
QUINTANA ROO,22.9,2019,23
SAN LUIS POTOSÍ,17.5,2019,24
SINALOA,18.0,2019,25
SONORA,14.1,2019,26
TABASCO,22.4,2019,27
TAMAULIPAS,18.9,2019,28
TLAXCALA,7.4,2019,29
VERACRUZ,17.5,2019,30
YUCATÁN,20.8,2019,31
ZACATECAS,9.7,2019,32
