LON,LAT,EDO,CLAVE_SIH,ENE,,,,,
-105.526667,26.004444,DGO,SBEDR,6,,,,,
-104.675833,23.874444,DGO,SBYDR,1.3,,,,,
-103.353056,24.469167,DGO,SCLDR,6.5,,,,,
-103.079722,24.608333,DGO,SELDR,5.31,,,,,
-105.560833,26.436667,DGO,SGBDR,2.03,,,,,
-102.778056,24.630556,DGO,SJGDR,10,,,,,
-105.666667,23.75,DGO,SLTDR,32.5,,,,,
-105.366667,25.953333,DGO,SMODR,4.73,,,,,
-104.2925,25.564167,DGO,SPGDR,2.1,,,,,
-105.422222,25.0375,DGO,SPPDR,2.41,,,,,
-105.566667,26.084444,DGO,SRDDR,0,,,,,
-106.538056,24.702222,DGO,TDRDR,10.81,,,,,
-103.441667,26.1125,DGO,THODR,11.81,,,,,
-106.975,24.933333,DGO,TMZDR,1.5,,,,,
-103.979722,24.810833,DGO,VGCDR,2,,,,,
-104.928889,26.2425,DGO,VHGDR,30.5,,,,,
-105.5025,26.440556,DGO,VILLAOCAMPO,5.2,,,,,
-105.506111,26.447778,DGO,VOCDR,2.02,,,,,
-99.906667,16.849722,GRO,ACAGR,0,,,,,
-99.749167,16.762778,GRO,ACUGR,0,,,,,
-99.516944,17.576389,GRO,AERGR,0,,,,,
-100.5175,18.075833,GRO,AFIGR,0,,,,,
-98.975278,17.719722,GRO,AHUGR,3.5,,,,,
-100.5,18.154167,GRO,AJCGR,0,,,,,
-100.44,17.209444,GRO,ATOYAC,11,,,,,
-100.433333,17.210278,GRO,ATYGR,0,,,,,
-99.1,16.949444,GRO,AYUGR,0,,,,,
-99.2,18.2,GRO,BVSGR,8,,,,,
-100.664444,18.359444,GRO,CALGR,0,,,,,
-99.701111,17.672222,GRO,CCHGR,0,,,,,
-100.089444,17.008889,GRO,CDBGR,0,,,,,
-99.5,17.545278,GRO,CHIGR,2.1,,,,,
-99.175833,17.608611,GRO,CHLGR,1,,,,,
-98.411944,16.47,GRO,CNLGR,0,,,,,
-101.054444,17.376944,GRO,CYQGR,6.5,,,,,
-99.995556,17.947778,GRO,ECAGR,0,,,,,
-99.332778,18.3025,GRO,HTZGR,0,,,,,
-99.55,18.349722,GRO,IGLGR,0,,,,,
-99.524167,18.360278,GRO,IGUALA,0,,,,,
-98.513333,17.6225,GRO,IXTGR,0,,,,,
-99.783333,16.966667,GRO,K21GR,0,,,,,
-101.003056,18.418611,GRO,LCLGR,0,,,,,
-100.018056,16.958333,GRO,LDCGR,0,,,,,
-99.235,16.76,GRO,LDGGR,0,,,,,
-99.503056,18.363333,GRO,LDTGR,0,,,,,
-99.369167,17.471111,GRO,MCHGR,16.3,,,,,
-99.799722,16.8,GRO,ODAGR,0,,,,,
-99.5,17.6,GRO,ODZGR,0,,,,,
-98.735,17.777222,GRO,OLNGR,6.5,,,,,
-98.433333,16.683333,GRO,OMEGR,0,,,,,
-99.433333,17.984444,GRO,PETGR,0,,,,,
-98.500556,16.655833,GRO,QTZGR,0,,,,,
-99.166111,16.823611,GRO,RMEGR,0,,,,,
-100.472778,17.139444,GRO,SJEGR,0,,,,,
-99.482778,16.796389,GRO,SNMGR,0,,,,,
-99.605278,18.554444,GRO,TAXGR,0,,,,,
-99.526389,17.1675,GRO,TCOGR,0,,,,,
-99.976389,17.789722,GRO,TLAGR,0,,,,,
